# CFB 2026-09-19 (Week 3) — FULL DAY, OPERATOR-SUPPLIED PREGAME BOARD.
#
# Provenance: supplied directly by the operator across four windows (noon, afternoon,
# evening, late night). The operator states the noon figures are "the early lines from
# before they started at noon"; the evening and late-night rows carry a named source per
# game. Pregame status rests on the operator's own statement.
#
# Labelled archived_pregame_reference throughout: no per-line observation TIMESTAMP was
# supplied for any row, and no sportsbook (as opposed to media outlet) was named. These
# are NOT true_timestamped_pregame and NOT closing lines.
#
# Spread is from the FAVOURITE's perspective (negative). One row per GAME; both sides are
# enumerated downstream. Disagreements against the earlier search-synthesis recovery are
# recorded in the note column and were NOT averaged — the operator value is used.
away,home,favourite,spread_fav,total,kickoff_et,window,source,note
Coastal Carolina,Delaware,Delaware,-5.5,57.5,11:30,noon,operator morning board,
Arizona State,Kansas,Arizona State,-5.5,50.5,12:00,noon,operator morning board,"London; CONFLICT vs search: had KANSAS -6/52.5 (opposite favourite)"
Georgia,Arkansas,Georgia,-24.5,54.5,12:00,noon,operator morning board,
Kent State,Ohio State,Ohio State,-52.5,58.5,12:00,noon,operator morning board,
Buffalo,Penn State,Penn State,-40.5,49.5,12:00,noon,operator morning board,"CONFLICT vs search: -39.5/48.5"
Akron,Minnesota,Minnesota,-23.5,49.5,12:00,noon,operator morning board,"CONFLICT vs search: -24.5"
Tulane,Kansas State,Kansas State,-20.5,49.5,12:00,noon,operator morning board,
Bowling Green,Iowa State,Iowa State,-23.5,43.5,12:00,noon,operator morning board,
North Carolina,Clemson,Clemson,-3.5,43.5,12:00,noon,operator morning board,
Mercer,Georgia Tech,Georgia Tech,-31.5,52.0,12:00,noon,operator morning board,"FCS opponent; spec silent - AMBIGUITIES A-9"
Florida State,Alabama,Alabama,-19.5,48.5,15:30,afternoon,operator board,"CONFLICT vs search: -20/49"
USC,Rutgers,USC,-23.5,59.5,15:30,afternoon,operator board,
SMU,Louisville,Louisville,-1.5,59.5,15:30,afternoon,operator board,"PRIMARY geometry; fails total guardrail"
Kentucky,Texas A&M,Texas A&M,-16.5,49.5,15:30,afternoon,operator board,
Utah State,Utah,Utah,-28.0,56.5,15:30,afternoon,operator board,
UTEP,Michigan,Michigan,-35.5,48.5,15:30,afternoon,operator board,
Miami (Ohio),Cincinnati,Cincinnati,-14.5,51.5,15:30,afternoon,operator board,
Temple,Toledo,Toledo,-5.5,55.5,15:30,afternoon,operator board,
Western Kentucky,Indiana,Indiana,-13.5,54.0,15:30,afternoon,operator board,"CONFLICT vs search: -44.5/60.5 (search was badly wrong)"
Mississippi State,South Carolina,South Carolina,-7.5,48.0,15:30,afternoon,operator board,"CONFLICT vs search: venue REVERSED and SC -3.5/58.5"
Charlotte,Appalachian State,Appalachian State,-17.5,51.5,15:30,afternoon,operator board,
Ball State,Liberty,Liberty,-14.5,49.5,15:30,afternoon,operator board,
Stanford,Duke,Duke,-2.5,49.5,16:00,afternoon,operator board,"CONFLICT vs search: -9.5/-10.5/51.5 — a 7-point disagreement"
West Virginia,Virginia,Virginia,-10.5,53.5,18:30,evening,NBC Sports,
Oklahoma,New Mexico,Oklahoma,-22.5,46.5,18:30,evening,Action Network,
Florida,Auburn,Auburn,-2.5,53.5,19:00,evening,Facebook schedule,"PRIMARY geometry; fails total guardrail by 1.5. Weakest named source on the board."
LSU,Ole Miss,Ole Miss,-2.5,57.5,19:30,evening,CBS Sports,"CONFLICT vs search: had LSU -3 (opposite favourite). PRIMARY geometry; fails guardrail"
Michigan State,Notre Dame,Notre Dame,-28.5,51.5,19:30,evening,CBS Sports,"CONFLICT vs search: -29.5/52"
UTSA,Texas,Texas,-30.5,58.5,20:00,evening,NBC Sports,
Arkansas State,TCU,TCU,-19.5,56.5,20:00,evening,Yahoo Sports,
BYU,Colorado State,BYU,-4.5,49.5,19:30,late,Yahoo Sports,
Colorado,Northwestern,Northwestern,-3.5,48.5,19:30,late,Action Network,
South Dakota,Boise State,Boise State,-24.5,51.5,22:00,late,Yahoo Sports,"FCS opponent; spec silent - AMBIGUITIES A-9"
James Madison,San Diego State,James Madison,-3.5,47.5,22:00,late,Yahoo Sports,
Fresno State,San Jose State,Fresno State,-7.5,53.5,23:00,late,Yahoo Sports,"PRIMARY geometry; fails total guardrail"
Montana,Oregon State,Oregon State,-21.5,49.5,23:00,late,Yahoo Sports,"FCS opponent; spec silent - AMBIGUITIES A-9"
